id,license,address,city,county,state,latitude,longitude
1338,Verizon,CLEARVIEW DRIVE ON  RTE 219:  2 MILES N OF INTERSECTION  OF,RIDGEWAY,ELK,PA,41.40952778,-78.70155556
1339,Verizon,Kylertown Allport Bigler Road,Morrisdale,CLEARFIELD,PA,40.98291667,-78.23561111
1340,Verizon,205 Sunset Road,Carrolltown,CAMBRIA,PA,40.614,-78.70469444
1341,Verizon,Mountain Church Road,BROCKPORT,ELK,PA,41.26191667,-78.69694444
1342,Verizon,State Rt 4009 off Kane Lamont,LAMONT,ELK,PA,41.61766667,-78.80338889
1343,AT&T,260 DEAD END ROAD (67207),LITITZ,LANCASTER,PA,40.23277778,-76.35411111
1344,Verizon,ATOP KNOB MOUNTAIN 1.4 MILES SE OF,FORKS,COLUMBIA,PA,41.09572222,-76.34433333
1345,Verizon,(Frailey site) 2201 Shermans Mtn Road,Frailey,SCHUYLKILL,PA,40.65986111,-76.38747222
1346,Verizon,19088 Route 522,Beaver Springs,SNYDER,PA,40.75125,-77.2065
1347,Verizon,DEER LAKE CELL SITE-2 MILES NW FROM I/S OF MOUNTAIN RD. & DREHERSVILLE RD.,DEER LAKE,SCHUYLKILL,PA,40.62827778,-76.04213889
1348,Verizon,2 MI NW OF SRS 1014 & 818,MAHNOY,SCHUYLKILL,PA,40.84861111,-76.11333333
1349,Verizon,(Tamaqua)2 MILES SE OF I/S RT. 209 & RT. 309,TAMAQUA,SCHUYLKILL,PA,40.79213889,-75.95822222
1350,Verizon,State Rd. 3017,PUNXSUTAWNEY,JEFFERSON,PA,40.92305556,-78.95833333
1351,Verizon,T.R. 336 Radio Tower Road Off Route 322,UNION,JEFFERSON,PA,41.18394444,-79.16530556
1352,Verizon,APPROXIMATELY 1/3 MILE NORTH OF LEGISLATIVE ROUTE 33038,FALLS CREEK,JEFFERSON,PA,41.16630556,-78.81352778
1353,Verizon,1 MI N OF I-81 & SR 209,KEFFERS,SCHUYLKILL,PA,40.60836111,-76.46280556
1354,Verizon,2 MI SW OF SR 443 & I-81,Pine Grove,SCHUYLKILL,PA,40.51775,-76.43986111
1355,Verizon,2 MILES NE OF I/S RT. 61 & TWP HWY 692A,POTTSVILLE,SCHUYLKILL,PA,40.6625,-76.17722222
1356,AT&T,7060 DIVISION HIGHWAY (51124),NARVON,LANCASTER,PA,40.10683333,-75.9515
1357,Verizon,Mercersburg Site 11900 Buchanan Trail West (PA13371-A),Mercersburg,FRANKLIN,PA,39.83594444,-77.90794444
1358,Verizon,3/4 MILE N OF I/S SHADE MTN. RD. & S. R. 104,MIDDLEBURG,SNYDER,PA,40.76111111,-77.01916667
1359,AT&T,2731 SWAMP ROAD (2171),Morgantown,LANCASTER,PA,40.16769444,-75.92219444
1360,AT&T,2935 TOWER HILL ROAD,SOUTH KINGSTOWN,WASHINGTON,RI,41.49816667,-71.45863889
1361,AT&T,Minturn Rd,BRISTOL,BRISTOL,RI,41.67780556,-71.25638889
1362,AT&T,7 Falco Circle,Westerly,WASHINGTON,RI,41.38972222,-71.81972222
1363,Verizon,BEACON POLE HILL OFF OF TOWER HILL ROAD,CUMBERLAND,PROVIDENCE,RI,41.99508333,-71.44783333
1364,AT&T,2760 Wallem Lake Rd,Burrillville,PROVIDENCE,RI,42.00908333,-71.75591667
1365,Verizon,575 NOOSENECK HILL ROAD,EXETER,WASHINGTON,RI,41.56427778,-71.66088889
1366,Verizon,ROUTE 1,SOUTH KINGSTON,WASHINGTON,RI,41.49677778,-71.45866667
